oficina_id;nome_canonico;papeis;unidades;precisa_revisao;revisao;variantes
a-a-pereira-limitada;A A PEREIRA LIMITADA;absenteismo|treino;;nao;;A A PEREIRA LIMITADA
a-de-m-dias-alves-limitada;A DE M DIAS ALVES LIMITADA;absenteismo|eficiencia|producao;;nao;;A DE M DIAS ALVES LIMITADA
a-maria-dos-santos-silva-faccao;A MARIA DOS SANTOS SILVA FACCAO;absenteismo|producao|treino;;nao;;A MARIA DOS SANTOS SILVA FACCAO | A MARIA DOS SANTOS SILVA FACÇÃO - ME | A. Maria dos Santos Silva Facção
a-s-confeccoes;A S CONFECCOES LTDA;absenteismo|eficiencia|producao|treino;BASICO|ELABORADO;sim;Possível duplicata de 'ASA CONFECCOES LTDA - ME' (93%);A S CONFECCOES LTDA | A S CONFECCOES LTDA BÁSICO | A S CONFECCOES LTDA ELABORADO
a-x-da-penha-filho;A X DA PENHA FILHO LTDA;absenteismo|eficiencia|producao;;nao;;A X DA PENHA FILHO LTDA
a-n-de-azevedo-medeiros;A. N. DE AZEVEDO MEDEIROS;treino;;nao;;A. N. DE AZEVEDO MEDEIROS
a-s-empreendimentos;A. S. EMPREENDIMENTOS LTDA;absenteismo|eficiencia|producao|treino;;nao;;A. S. EMPREENDIMENTOS LTDA | A. S. Empreendimentos
acari-textil;ACARI TÊXTIL LTDA;absenteismo|eficiencia|producao|treino;;nao;;ACARI TÊXTIL LTDA | Acari Têxtil
acaua-confeccoes;ACAUÃ CONFECÇÕES LTDA;absenteismo|eficiencia|producao|treino;POLO;nao;;ACAUA CONFECCOES LTDA | ACAUÃ CONFECÇÕES LTDA | ACAUÃ CONFECÇÕES LTDA POLO
aguia-industria-textil;AGUIA INDUSTRIA TEXTIL LTDA;treino;;nao;;AGUIA INDUSTRIA TEXTIL LTDA
ajg-confeccoes;AJG CONFECÇÕES LTDA;absenteismo|eficiencia|producao|treino;;nao;;AJG CONFECÇÕES LTDA
alanis-queiroz;ALANIS QUEIROZ LTDA;absenteismo|eficiencia|producao|treino;;nao;;ALANIS QUEIROZ LTDA
alanis-santos;ALANIS SANTOS LTDA;absenteismo|eficiencia|producao;;nao;;ALANIS SANTOS LTDA
alianca-confeccoes;ALIANCA CONFECCOES LTDA;absenteismo|treino;;nao;;ALIANCA CONFECCOES LTDA | aliança confecções
aline-rodrigues-de-lima-araujo;ALINE RODRIGUES DE LIMA ARAUJO;absenteismo|eficiencia|producao|treino;;nao;;ALINE RODRIGUES DE LIMA ARAUJO | Aline Rodrigues de Lima Araújo - ME
alves-trindade-confeccoes;ALVES & TRINDADE CONFECCOES LTDA - ME;absenteismo|treino;;nao;;ALVES & TRINDADE CONFECCOES LTDA | ALVES & TRINDADE CONFECCOES LTDA - ME
alves-confeccoes-limitada;ALVES CONFECCOES LIMITADA;absenteismo|eficiencia|producao;;nao;;ALVES CONFECCOES LIMITADA
amorim-pedro-confeccoes;AMORIM & PEDRO CONFECCOES LTDA - ME;absenteismo|eficiencia|producao|treino;;nao;;AMORIM & PEDRO CONFECCOES LTDA | AMORIM & PEDRO CONFECCOES LTDA - ME
amorim-e-pedro;AMORIM E PEDRO;treino;;nao;;AMORIM E PEDRO
antonio-igor-dantas-de-souza;ANTONIO IGOR DANTAS DE SOUZA;absenteismo|eficiencia|producao;;nao;;ANTONIO IGOR DANTAS DE SOUZA
araujo-camara;ARAUJO & CAMARA LTDA;absenteismo|eficiencia|producao|treino;;nao;;ARAUJO & CAMARA LTDA | ARAUJO CAMARA LTDA
araujo-e-m-confeccoes;ARAUJO E M CONFECCOES EIRELI;absenteismo|eficiencia|producao|treino;;nao;;ARAUJO E M CONFECCOES EIRELI | ARAUJO E M CONFECCOES LTDA | Araujo E M Confeccoes Ltda
arca-fabril-industria-de-vestuario;ARCA FABRIL INDUSTRIA DE VESTUARIO LTDA;absenteismo|treino;;nao;;ARCA FABRIL INDUSTRIA DE VESTUARIO LTDA
asa-confeccoes;ASA CONFECCOES LTDA - ME;absenteismo|eficiencia|producao;;sim;Possível duplicata de 'A S CONFECCOES LTDA' (93%);ASA CONFECCOES LTDA - ME
arara-confeccoes;Arara confeccoes Ltda;absenteismo|treino;;nao;;ARARA CONFECCOES LTDA | Arara confeccoes Ltda
b-n-silva-confeccoes;B&N SILVA CONFECCOES LTDA;absenteismo|eficiencia|producao|treino;;nao;;B & N SILVA CONFECCOES LTDA | B&N SILVA CONFECCOES LTDA
cabugi-confeccoes;CABUGI CONFECCOES LTDA.;absenteismo|eficiencia|producao;;nao;;CABUGI CONFECCOES LTDA.
cabugi-ind-e-com-de-confeccoes;CABUGI IND. E COM. DE CONFECÇÕES LTDA.;treino;;nao;;CABUGI IND. E COM. DE CONFECÇÕES LTDA.
cabugi-industria-e-comercio-de-confeccoes;CABUGI INDUSTRIA E COMERCIO DE CONFECCOES LTDA;treino;;nao;;CABUGI INDUSTRIA E COMERCIO DE CONFECCOES LTDA
cabugi-industria-com-confeccoes;CABUGI INDÚSTRIA COM. CONFECÇÕES EIRELI;treino;;nao;;CABUGI INDÚSTRIA COM. CONFECÇÕES EIRELI
canaa-companhia-textil;CANAA COMPANHIA TEXTIL LTDA - ME;absenteismo|treino;;nao;;CANAA COMPANHIA TEXTIL LTDA | CANAA COMPANHIA TEXTIL LTDA - ME
clara-a-de-medeiros-leite;CLARA A DE MEDEIROS LEITE;absenteismo|eficiencia|producao|treino;;nao;;CLARA A DE MEDEIROS LEITE
comart-cooperativa-das-maos-artesan;COMART COOPERATIVA DAS MAOS ARTESAN;producao;;nao;;COMART COOPERATIVA DAS MAOS ARTESAN
confeccao-g-b-da-s-junior;CONFECCAO G. B. DA S. JUNIOR & CIA LTDA;absenteismo|eficiencia|producao;;sim;Possível duplicata de 'CONFECCAO G. B. DA SILVA JUNIOR & CIA LTDA' (93%);CONFECCAO G. B. DA S. JUNIOR & CIA LTDA
confeccao-g-b-da-silva-junior;CONFECCAO G. B. DA SILVA JUNIOR & CIA LTDA;treino;;sim;Possível duplicata de 'CONFECCAO G. B. DA S. JUNIOR & CIA LTDA' (93%);CONFECCAO G. B. DA SILVA JUNIOR & CIA LTDA
confeccoes-f-sales;CONFECCOES F SALES CIA LTDA;absenteismo|treino;;nao;;CONFECCOES F SALES CIA LTDA
confeccoes-franoelda-m-m-araujo;CONFECCOES FRANOELDA M. M. ARAUJO EIRELI;absenteismo|eficiencia|producao;;nao;;CONFECCOES FRANOELDA M. M. ARAUJO EIRELI
confeccoes-franoelda-magneuda-de-medeiros-araujo;CONFECCOES FRANOELDA MAGNEUDA DE MEDEIROS ARAUJO LTDA;treino;;nao;;CONFECCOES FRANOELDA MAGNEUDA DE MEDEIROS ARAUJO LTDA
